id,name,brewery_id,state,country,style,availability,abv
94278,SF-SD Bay To Bay,26704,CA,US,California Common / Steam Beer, Limited (brewed once),5.4
277914,Enright's,46203,CA,US,Irish Dry Stout, Year-round,5.1
84114,Honey I’m Home,27327,CA,US,American Blonde Ale, Year-round,5.2
366207,Wagons Foreword,28819,CA,US,American IPA, Year-round,6.5
202366,Mudflat Brown,38961,CA,US,American Brown Ale, Rotating,5.0
182190,Berliner Weisse,24748,CA,US,Berliner Weisse, Rotating,3.7
230230,Chocolate Cherry Stout,30816,CA,US,American Stout, Rotating,8.2
171582,Goon Brigade,36594,CA,US,American IPA, Limited (brewed once),7.6
321013,Customized Yellow Merc IPA,37749,CA,US,American IPA, Rotating,6.9
149097,Hop Odyssey: Mosaic Session India Pale Ale,2743,CA,US,American IPA, Rotating,4.5
21754,Pelican Pale,4926,CA,US,American Pale Ale (APA), Year-round,5.0
84488,Maiden Fields,28019,CA,US,Berliner Weisse, Rotating,7.0
236222,Rye The Lightning,44604,CA,US,American IPA, Rotating,4.5
123709,Liberty Station Operation Homefront IPA,147,CA,US,American IPA, Limited (brewed once),6.9
73057,Beech Street IPA,1337,CA,US,English India Pale Ale (IPA), Rotating,7.0
164613,Remys Pappy 2015,16453,CA,US,Russian Imperial Stout, Limited (brewed once),
149696,Kickout,33224,CA,US,American Imperial IPA, Rotating,7.8
37113,Old Stock Cellar Reserve (Aged In Bourbon Barrels),112,CA,US,English Old Ale, Rotating,13.16
94967,Electric Tower IPA,31791,CA,US,American IPA, Year-round,7.1
143530,Stoner Duck Nut Brown Hemp Ale,34782,CA,US,American Brown Ale, Year-round,5.6
136417,Mocha Cream Stout,23200,CA,US,American Stout, Rotating,6.5
31842,Scotch Ale,4712,CA,US,Scotch Ale / Wee Heavy, Limited (brewed once),10.5
287997,The Celluloid,49529,CA,US,American Imperial Stout, Rotating,8.5
131384,Rauch Sham Bo,2447,CA,US,German Rauchbier, Rotating,4.8
102903,Simpleton,28019,CA,US,American IPA, Rotating,6.5
5392,Hackstein Amber NA,797,CA,US,Low Alcohol Beer, Year-round,0.5
314573,Love & French Toast,45240,CA,US,American Imperial Stout, Limited (brewed once),9.1
34129,Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged,140,CA,US,American Barleywine, Rotating,12.2
277827,Nomelhead,28657,CA,US,American Wild Ale, Rotating,5.3
252661,Smoke Chaser Reserve - Double Barrel Aged Smoked Barly Wine,24748,CA,US,American Barleywine, Limited (brewed once),14.6
368397,Dream State,27946,CA,US,New England IPA, Limited (brewed once),7.0
368158,Hipster in a Vanilla Field,48831,CA,US,Russian Imperial Stout, Rotating,10.0
110421,A Precarious Proposal,32280,CA,US,American Amber / Red Ale, Rotating,5.2
310295,Folsom Dam Good Pilsner,48993,CA,US,Bohemian Pilsener, Year-round,5.2
197326,Afternoon Delight,32931,CA,US,American Pale Ale (APA), Limited (brewed once),5.8
226046,Four Seasons Of Mother Earth - Spring: Tantalus (2016),22610,CA,US,British Barleywine, Limited (brewed once),8.2
113744,Someone Talked! Colorado Whiskey Barrel Aged,19890,CA,US,American Imperial Stout, Limited (brewed once),13.0
61218,Uncle Arnie's Irish Red,22882,CA,US,Irish Red Ale, Year-round,5.5
178738,Coffee Sculpin,199,CA,US,American IPA, Rotating,7.0
17971,Hogshead English Bitter,2545,CA,US,English Bitter, Limited (brewed once),
